B	BP	BV	id	normal / touch / 360 / detachable	Brand	Model	Best Price	Color	Screen	RAM	Processor	VRAM	GPU	Storage	OS	MS offc	Warranty	Thickness	Weight	Backlit keyboard	DVD	91mobiles	Amazon	Flipkart	Snapdeal	Tata Cliq	Croma	screen size in numbers	processor score	gpu score	ddr4/ddr3	gddr5/ddr3	ssd/hdd	RAM Memory	VRAM Memory	cpu score bucket	gpu score bucket	comment on processor	comment on GPU	pic name	series name	part number / model name for HP	model name for HP subtracted	Build Score (x/4)	Build Review	Screen Score (x/4)	Screen Review	Audio Score (x/4)	Audio Review	Keyboard (x/4)	Keyboard Review	Touchpad Score (x/4)	Touchpad Review	Heating Score (x/3)	Heating Review	Additional Cons (not in brackets)	Additional Pros (not in brackets)
6	12	24	1	normal	Acer	Aspire E5-553 (UN.GESSI.001)	23990	Black	"15.6"" HD"	4GB DDR3	AMD A10-9600P	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr	30.2	2.3	No	Yes							15.6	3574	0	0	0	1	4	0	4	0	AMD A10-9600P performs 10-15% better than i3 6006U & 5-10% worse than i3 7100U		Aspire E5_523, 553, 575_15_Black	Aspire E5-553 	UN.GESSI.001		3	plastic case, palm rest area has subtle brushed finish, bottom and lid have line pattern, lid is soft and flexible but solid case overall	2	average brightness and contrast, bad viewing angles	2	average quality, slightly hollow sound, good voulme	3	slightky roughened concave keys for grip, numeric keypad is small	4	glossy edges, smooth surface, precise and accurate	2	underside heats up under heavy usage		
6	12	24	2	normal	Acer	Aspire E5-553-T4PT (NX.GESSI.003)	24999	Black	"15.6"" FHD"	4GB DDR3	AMD A10-9600P	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	3574	0	0	0	1	4	0	4	0	AMD A10-9600P performs 10-15% better than i3 6006U & 5-10% worse than i3 7100U		Aspire E5_523, 553, 575_15_Black	Aspire E5-553-T4PT 	NX.GESSI.003		3	plastic case, palm rest area has subtle brushed finish, bottom and lid have line pattern, lid is soft and flexible but solid case overall	2	average brightness and contrast, bad viewing angles	2	average quality, slightly hollow sound, good voulme	3	slightky roughened concave keys for grip, numeric keypad is small	4	glossy edges, smooth surface, precise and accurate	2	underside heats up under heavy usage		
25	31	26	3	normal	Acer	Aspire V5-122P (NX.M8WSI.008)	17990	Silver	"11.6"" HD"	2GB DDR3	AMD A4-1250	Integrated	Integrated	500GB 5400RPM	Win 8.1	No	1 yr											11.6	608	0	0	0	1	2	0	1	0	AMD A4-1250 performs 30-40% worse than Celeron N3050		Aspire V5_122, 132_11_Silver	Aspire V5-122P 	NX.M8WSI.008		4	made of plastic but looks aluminium, smooth brushed surfaces, rigid build	3	-	3	good voulme and quality, lacks bass as expected considering size	3	quiet and sturdy but shallow and soft	3	small due to space constraint, smooth and accurate	2	undeside's centre warms up under stress		
12	18	24	4	normal	Acer	Aspire ES1-521 (UN.G2KSI.008) 	20999	Black	"15.6"" HD"	4GB DDR3	AMD A4-6210	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											15.6	2130	0	0	0	1	4	0	3	0	AMD A4-6210 performs 10-15% better than Pentium N3700 & 30-40% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	UN.G2KSI.008		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
12	18	24	5	normal	Acer	Aspire ES1-521 (NX.G2KSI.010)	17999	Grey	"15.6"" HD"	4GB DDR3	AMD A4-6210	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2130	0	0	0	1	4	0	3	0	AMD A4-6210 performs 10-15% better than Pentium N3700 & 30-40% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	NX.G2KSI.010		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
12	18	24	6	normal	Acer	Aspire ES1-523 (NX.GKYSI.002)	19990	Black	"15.6"" HD"	4GB DDR3	AMD A4-7210	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2485	0	0	0	1	4	0	3	0	AMD A4-7210 performs 25-30% better than Pentium N3540 & 20-25% worse than i3 6006U		Aspire ES1_523, 524, 533, 572_15_Black	Aspire ES1-523 	NX.GKYSI.002		3	synthetic material is used, texture on lid and base top, sturdy build	2	average brightness and contrast, poor color accuracy and viewing angles	2	dull tinny sound	2	slightky roughened concave keys for grip,a little shallow	3	smooth, works well	3	underside gets slightly warm under heavy usage		
12	18	24	7	normal	Acer	Aspire ES1-521 (NX.G2KSI.025)	21688	Black	"15.6"" HD"	4GB DDR3	AMD A8-6410	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2525	0	0	0	1	4	0	3	0	AMD A8-6410 performs 25-30% better than Pentium N3540 & 15-20% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	NX.G2KSI.025		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
12	18	24	8	normal	Acer	Aspire ES1-521 (NX.G2KSI.009) 	25999	Black	"15.6"" HD"	6GB DDR3	AMD A8-6410	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2525	0	0	0	1	6	0	3	0	AMD A8-6410 performs 25-30% better than Pentium N3540 & 15-20% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	NX.G2KSI.009		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
9	15	21	9	normal	Acer	Aspire E5-523 (NX.GDNSI.004)	20990	Black	"15.6"" HD"	4GB DDR4	AMD A9-9410	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2598	0	1	0	1	4	0	3	0	AMD A9-9410 performs 30-40% better than Pentium N3540 & 15-20% worse than i3 6006U		Aspire E5_523, 553, 575_15_Black	Aspire E5-523 	NX.GDNSI.004		3	plastic case, palm rest area has subtle brushed finish, bottom and lid have line pattern, lid is soft and flexible but solid case overall	2	average brightness and contrast, bad viewing angles	2	average quality, slightly hollow sound, good voulme	3	slightky roughened concave keys for grip, numeric keypad is small	4	glossy edges, smooth surface, precise and accurate	2	underside heats up under heavy usage		
24	30	26	10	normal	Acer	Aspire ES1-520 (NX.G2JSI.005)	20499	Black	"15.6"" HD"	4GB DDR3	AMD E1-2500	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	878	0	0	0	1	4	0	1	0	AMD E1-2500 performs 0-5% better than AMD E1-6010 & 5-10% worse than AMD E1-7010		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-520 	NX.G2JSI.005		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
