Budget	Bucket	Processor	Short Processor	RAM	Short RAM	GPU	Short GPU	VRAM	Short VRAM	Storage	Short Storage
25000	B	However, all the options under 25,000 mainly have Celeron/Pentium/AMD-A4,A6,A8 processors. Although they are capable of running all everyday basic applications, they are slower than i3 6th/7th Gen processors (laptops with i3 processor will cost you between 25,000-35,000).	i3 6th/7th Gen processor would have been ideal for you.	You will see many options with 2GB RAM, but 2GB will insufficient in case you try multi-tasking. With 2GB, do not expect to run more than 2 applications (say browser + MS word) at a time.	4GB would be perfect for your usage.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics cad is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 4 types of storages: SSD, 7200RPM HDD, 5400RPM HDD and eMMC.   SSD: Its much faster, quieter and lighter than HDD, but are 5-10 times expensive too.  eMMC: It is the kind of storage you have in pen-drives, they are faster than HDD, but available in small storage quantity (max 64GB). HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
25000	BT	You will see mainly 3 categories of intel processors in laptops suitable for your needs - Pentium, Atom and Celeron. Pentium is better than Atom, and Atom is better than Celeron. I3 is better than all 3 of them, but won't be available in our budget. Try to avoid celeron. Atom and pentium processors are good enough for running the vast majority of standard computer programs. Be it web browsing, editing documents, making presentations or watching movies.	Choose a good Pentium / Atom processor.	2GB will insufficient i case you try multi-tasking. With 2GB, do not expect to run more than 2 applications (say browser + MS word) smoothly.	Try buying 4GB RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage for screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
25000	BP	However, all the options under 25,000 mainly have Celeron/Pentium/AMD-A4,A6,A8 processors. Although they are capable of running all everyday basic applications, they are slower than i3 6th/7th Gen processors (laptops with i3 processor will cost you between 25,000-35,000). They won't be able to provide enough computational capability for running engineering softwares, rendering a heavy file in photo editor or compiling a lengthy code.	Try buying i3 6th/7th Gen processor.	8GB will be good for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 4GB.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 4 types of storages: SSD, 7200RPM HDD, 5400RPM HDD and eMMC.   SSD: Its much faster, quieter and lighter than HDD, but are 5-10 times expensive too.  eMMC: It is the kind of storage you have in pen-drives, they are faster than HDD, but available in small storage quantity (max 64GB). HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
25000	BPT	You will see mainly 3 categories of intel processors in laptops within your budget - Pentium, Atom and Celeron. Pentium is better than Atom, and Atom is better than Celeron. I3 is better than all 3 of them, but won't be available in our budget. None of them will be able to provide enough computational capability for running engineering softwares, rendering a heavy file in photo editor or compiling a lengthy code. 	You need atleast i3 6th/7th Gen processor	8GB will be good for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice.	Choose atleast 4GB.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage for screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
25000	BV	i3 5th/6th/7th gen is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, or watching movies.   For running engineering softwares or rendering a heavy file in photo/video editor or compiling a lengthy code or running demanding games smoothly, i5 processor is preferred. But that is not within budget.  All the options under 25,000 mainly have Celeron/Pentium/AMD-A4,A6,A8 processors. Although they are capable of running all everyday basic applications, they are slower than i3 6th/7th Gen processors. 	Try buying i3 5th/6th/7th Gen processor.	8GB will be good for gaming, photo/video editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 4GB.	It will be difficult to find a laptop with dedicated graphics processor within your budget. You will have to compromise on demanding games and high-resolution video-editing. Light games can be played.	You need dedicated graphics processor, integrated graphics won't suffice.		2GB VRAM is enough.	There are 4 types of storages: SSD, 7200RPM HDD, 5400RPM HDD and eMMC.   SSD: Its much faster, quieter and lighter than HDD, but are 5-10 times expensive too.  eMMC: It is the kind of storage you have in pen-drives, they are faster than HDD, but available in small storage quantity (max 64GB). HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
25000	BVT	You will see mainly 3 categories of intel processors in laptops within your budget - Pentium, Atom and Celeron. Pentium is better than Atom, and Atom is better than Celeron. I3 is better than all 3 of them, but won't be available in our budget. None of them will be able to provide enough computational capability for running demanding games or engineering softwares, rendering a heavy file in photo/video editor or compiling a lengthy code. 	You need atleast i3 6th/7th Gen processor	8GB will be good for gaming, photo/video editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 4GB.	It will be difficult to find a laptop with dedicated graphics processor within your budget. You will have to compromise on demanding games and high-resolution video-editing. Light games can be played. 	You need dedicated graphics processor, integrated graphics won't suffice.		2GB VRAM is enough.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage for screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
40000	B	i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor. I would recommend you to not buy a 4th/5th generation processor laptop.	i3 6th/7th Gen processor is enough. i5 6th/7th is more than enough.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Try buying DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Try buying a 7200RPM HDD instead of 5400RPM.
40000	BT	You will see mainly 4 categories of intel processors in laptops suitable for your needs - i3, Pentium, Atom and Celeron. I3 is better than rest three. i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor. I would recommend you to not buy a 4th/5th generation processor laptop	Choose i3 6th/7th Gen processor,	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Try buying DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage in screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
40000	BP	Don't opt for 5th gen, it is pretty old now, new generations are better. i3 won't be able to provide enough computational capability for running engineering softwares or rendering a heavy file in photo editor or compiling a lengthy code. i7 5th/6th/7th gen would be great, but won't fit into your budget. i5 6th/7th gen is good and enough.	You need i5 6th/7th generation processor.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Try buying a 7200RPM HDD instead of 5400RPM.
40000	BPT	You will see mainly 4 categories of intel processors in laptops within your budget - i3, Pentium, Atom and Celeron. I3 is better than rest three. Although i3 won't be able to provide enough computational capability for running engineering softwares or rendering a heavy file in photo editor or compiling a lengthy code.	You need i5 6th/7th generation processor. Buy atleat i3 6th/7th Gen processor,	8GB will be good for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 4GB.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage in screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
